CODES,FROM STATE,TO STATE,INFO,
DsDumpOpStart = dumpstation told to start operating ,idle,preDumpReserved,"dumpstationID, time",
DsDumpStart = coal enters dumpstation,preDumpReserved,working,"dumpstationID, time",
DsDumpComp = dumpstation empties,working ,postDumpReserved,"dumpstationID, time, amount dumped",
DsDumpOpComp = dumpstation released,postDumpReserved,idle,"dumpstationID, time",
DsFail = dumpstation fails,"working, preDumpReserved, postDumpReserved",failed,"dumpstationID, time",
DsFix = dumpstation fixed,failed,"working, preDumpReserved, postDumpReserved","dumpstationID, time",
DsSyncedFail = a synced resource (i.e. stacker) has failed,"working, preDumpReserved, postDumpReserved",syncedFail,"dumpstationID, time",
DsSyncedFix = synced resource has been fixed,syncedFail,"working, preDumpReserved, postDumpReserved","dumpstationID, time",
DsMaintStart = maintenance started,idle,maintenance,"dumpstationID, time",
DsMaintComp = maintenance finished,maintenance,idle,"dumpstationID, time",
,,,,
SlStartVesselLoad = shiploader told to start operating (and the vessel has not yet been loaded) ,idle,idle,"ShiploaderID, time, position, vesselID",
"SlLoadOpStart = shiploader told to start operating  (shiploader enters the ""operating"" machine state)",idle,preLoadReserved,"ShiploaderID, time, position, stockpileID",
SlLoadStart = coal reaches shiploader,preLoadReserved,working,"ShiploaderID, time, position, stockpileID",
SlLoadComp = shiploader empties,working,postLoadReserved,"ShiploaderID, time, position, stockpileID, amount",
SlLoadOpComp = shiploader released,postLoadReserved,idle,"ShiploaderID, time, position, stockpileID, amount",
SlFail = shiploader fails,"working, preLoadReserved, postLoadReserved",failed,"ShiploaderID, time, position, stockpileID",
SlFix = shiploader fixed,failed,"working, preLoadReserved, postLoadReserved","ShiploaderID, time, position, stockpileID",
SlSyncedFail = a synced resource (i.e. reclaimer) has failed,"working, preLoadReserved, postLoadReserved",syncedFail,"ShiploaderID, time, position, stockpileID",
SlSyncedFix = synced resource has been fixed,syncedFail,"working, preLoadReserved, postLoadReserved","ShiploaderID, time, position, stockpileID",
SlOnMove = started moving,idle,idle,"ShiploaderID, time, position",
SlOnStopMove = stopped moving,idle,idle,"ShiploaderID, time, position",
SlMaintStart = maintenance started,idle,maintenance,"ShiploaderID, time, position",
SlMaintComp = maintenance finished,maintenance,idle,"ShiploaderID, time, position",
,,,,
SpStockpileCreated = pad space reserved,idle,created,"StockpileID, VesselID, time, padID, start pos, length",
SpStackStart = stacking onto stockpile started,created,stacking,"StockpileID, VesselID, time, padID, stackerID",
